"diputadoId";"nombre";"distrito";"sexo";"imagen"
99;"MARINO, Juan Carlos";"La Pampa";"m";"344.gif"
100;"MARTIN, Floriana Nélida";"San Juan";"f";
101;"MARTINAZZO, Luis Eduardo";"San Juan";"m";
102;"MARTÍNEZ PASS de CRESTO, Laura";"Entre Ríos";"f";
103;"MARTINEZ, Alfredo Anselmo";"Santa Cruz";"m";
104;"MARTINEZ, José Carlos";"Tierra del Fuego";"m";
105;"MASSONI, Norberto";"Chubut";"m";
106;"MASTANDREA, Alicia Ester";"Chaco";"f";
107;"MAYANS, José Miguel Ángel";"Formosa";"m";"294.gif"
108;"MAZA, Ada Mercedes";"La Rioja";"f";
109;"MEABE de MATHO, Josefina Angélica";"Corrientes";"f";
110;"MENEM, Carlos Saúl";"La Rioja";"m";"357.gif"
111;"MENEM, Eduardo";"La Rioja";"m";
112;"MERA, Mario Rubén";"Santiago del Estero";"m";
113;"MESTRE, Ramón Javier";"Córdoba";"m";
114;"MICHETTI, Marta Gabriela";"Ciudad Autónoma de Buenos Aires";"f";
115;"MIRANDA, Julio Antonio";"Tucumán";"m";
116;"MONLLAU, Blanca María del Valle";"Catamarca";"f";
117;"MONTENEGRO, Gerardo Antenor";"Santiago del Estero";"m";"446.gif"
118;"MONTERO, Laura Gisela";"Mendoza";"f";
119;"MORALES, Gerardo Rubén";"Jujuy";"m";
120;"MORANDINI, Norma Elena";"Córdoba";"f";
121;"MULLER, Mabel Hilda";"Buenos Aires";"f";
122;"NEGRE DE ALONSO, Liliana Teresita";"San Luis";"f";
123;"NIKISCH, Roy Abelardo";"Chaco";"m";
124;"OCHOA, Raúl Ernesto";"San Luis";"m";
125;"ODARDA, María Magdalena";"Río Negro";"f";
126;"OSUNA, Blanca Inés";"Entre Ríos";"f";
127;"OVIEDO, Mercedes Margarita";"Misiones";"f";
128;"PAMPURO, José Juan Bautista";"Buenos Aires";"m";
129;"PARRILLI, Nanci María Agustina";"Neuquén";"f";
130;"PAZ, Elva Azucena";"Formosa";"f";
131;"PERCEVAL, María Cristina";"Mendoza";"f";
132;"PEREYRA, Guillermo Juan";"Neuquén";"m";
133;"PEREZ ALSINA, Juan Agustín";"Salta";"m";
134;"PERSICO, Daniel Raúl";"San Luis";"m";
135;"PETCOFF NAIDENOFF, Luis Carlos";"Formosa";"m";"355.gif"
136;"PICHETTO, Miguel Ángel";"Río Negro";"m";
137;"PILATTI VERGARA, Maria Ines Patricia";"Chaco";"f";"435.gif"
138;"PINCHETTI de SIERRA MORALES, Delia Norma";"Tucumán";"f";
139;"PRADES, Carlos Alfonso";"Santa Cruz";"m";
140;"PUERTA, Federico Ramón";"Misiones";"m";
141;"QUINTELA, Teresita Nicolasa";"La Rioja";"f";
142;"RACHED, Emilio Alberto";"Santiago del Estero";"m";
143;"REUTEMANN, Carlos Alberto";"Santa Fe";"m";"232.gif"
144;"RIOFRIO, Marina Raquel";"San Juan";"f";
145;"RÍOS, Roberto Fabián";"Corrientes";"m";
146;"RODRIGUEZ SAA, Adolfo";"San Luis";"m";"365.gif"
147;"ROJKES de ALPEROVICH, Beatriz L .";"Tucumán";"f";
148;"ROLDAN, José María";"Corrientes";"m";
149;"ROMERO, Juan Carlos";"Salta";"m";"35.gif"
150;"ROSSI, Carlos Alberto";"Córdoba";"m";
151;"ROZAS, Angel";"Chaco";"m";
152;"RUIZ DIAZ, Elsa Beatriz";"Entre Ríos";"f";
153;"SAADI, Ramón Eduardo";"Catamarca";"m";
154;"SALAZAR, Carlos Eduardo";"Tucumán";"m";
155;"SALVATORI, Pedro";"Neuquén";"m";
156;"SANCHEZ, María Dora";"Corrientes";"f";
157;"SANTILLI, Diego César";"Ciudad Autónoma de Buenos Aires";"m";
158;"SANZ, Ernesto Ricardo";"Mendoza";"m";
159;"SAPAG, Luz María";"Neuquén";"f";
160;"SOLANAS, Fernando Ezequiel";"Ciudad Autónoma de Buenos Aires";"m";
161;"SOSA, Maria Noemi";"Río Negro";"f";
162;"TAFFAREL, Ricardo Cesar";"Entre Ríos";"m";
163;"TERRAGNO, Rodolfo";"Ciudad Autónoma de Buenos Aires";"m";
164;"TORRES, Eduardo Enrique";"Misiones";"m";
165;"TROADELLO, Mónica";"Mendoza";"f";
166;"URQUIA, Roberto Daniel";"Córdoba";"m";
167;"URTUBEY, Rodolfo Julio";"Salta";"m";
168;"VERA, Arturo";"Entre Ríos";"m";
169;"VERANI, Pablo";"Río Negro";"m";
170;"VERNA, Carlos Alberto";"La Pampa";"m";
171;"VIANA, Luis Alberto";"Misiones";"m";
172;"VIGO, Elida María";"Misiones";"f";
173;"VIUDES, Isabel Josefa";"Corrientes";"f";
174;"YOMA, Jorge Raúl";"La Rioja";"m";
175;"ZAMORA, Gerardo";"Santiago del Estero";"m";
176;"ZAVALIA, José Luis";"Santiago del Estero";"m";
177;"ABAL MEDINA, Juan Manuel";"Buenos Aires";"m";
178;"BOYADJIAN, Miriam Ruth";"Tierra del Fuego";"f";
179;"BRAILLARD POCCARD, Néstor";"Corrientes";"m";"463.gif"
180;"MARTÍNEZ, Ernesto Félix";"Córdoba";"m";"459.gif"
181;"PINEDO, Federico";"Ciudad Autónoma de Buenos Aires";"m";
182;"RODRÍGUEZ MACHADO, Laura Elena";"Córdoba";"f";"458.gif"
183;"VARELA, Marta";"Ciudad Autónoma de Buenos Aires";"f";
184;"COBOS, Julio César Cleto";"Mendoza";"m";"466.gif"
185;"GIACOPPO, Silvia del Rosario";"Jujuy";"f";"473.gif"
186;"VERASAY, Pamela Fernanda";"Mendoza";"f";"467.gif"
187;"ALPEROVICH, José";"Tucumán";"m";"327.gif"
188;"ESPINOLA, Carlos Mauricio";"Corrientes";"m";"461.gif"
189;"MIRKIN, Beatriz Graciela";"Tucumán";"f";"471.gif"
190;"OJEDA, José Anatolio";"Tierra del Fuego";"m";
191;"PEROTTI, Omar Ángel";"Santa Fe";"m";
192;"DURANGO, Norma Haydée";"La Pampa";"f";"465.gif"
193;"LOVERA, Daniel Aníbal";"La Pampa";"m";"464.gif"
194;"CASERIO, Carlos Alberto";"Córdoba";"m";"460.gif"
195;"ALMIRON, Ana Claudia";"Corrientes";"f";"462.gif"
196;"FERNÁNDEZ SAGASTI, Anabel";"Mendoza";"f";"468.gif"
197;"GARCÍA, Virginia María";"Santa Cruz";"f";
198;"GONZÁLEZ, Nancy Susana";"Chubut";"f";"456.gif"
199;"SACNUN, María de los Ángeles";"Santa Fe";"f";"470.gif"
200;"LUENZO, Alfredo Héctor";"Chubut";"m";"457.gif"
201;"PAIS, Juan Mario";"Chubut";"m";"455.gif"
202;"MERA, Dalmacio Enrique";"Catamarca";"m";"454.gif"
203;"Legislador a Designar";"Formosa";;
204;"GONZÁLEZ, María Teresa Margarita";"Formosa";"f";"477.gif"
205;"BRIZUELA Y DORIA, Inés";"La Rioja";"f";
206;"BULLRICH, Esteban";"Buenos Aires";"m";"478.gif"
207;"CATALFAMO, Eugenia";"San Luis";"f";"488.gif"
208;"COSTA, Eduardo";"Santa Cruz";"m";"490.gif"
209;"FIAD, Mario";"Jujuy";"m";"480.gif"
210;"GONZALEZ, Gladys";"Buenos Aires";"f";"494.gif"
211;"IANNI, Ana María";"Santa Cruz";"f";"492.gif"
212;"LOPEZ VALVERDE, Cristina";"San Juan";"f";"487.gif"
213;"MARTINEZ, Julio";"La Rioja";"m";"482.gif"
214;"POGGI, Claudio";"San Luis";"m";"489.gif"
215;"PORCEL DE RICCOBELLI, Blanca";"Santiago del Estero";"f";
216;"SCHIAVONI, Humberto";"Misiones";"m";"485.gif"
217;"SNOPEK, Guillermo";"Jujuy";"m";"481.gif"
218;"SOLARI QUINTANA, Magdalena";"Misiones";"f";"484.gif"
219;"TAPIA, María Belén";"Santa Cruz";"f";"491.gif"
220;"UÑAC, José Rubén";"San Juan";"m";"486.gif"
221;"BLANCO, Pablo Daniel";"Tierra del Fuego";"m";"511.gif"
222;"DOÑATE, Claudio Martín";"Río Negro";"m";"505.gif"
223;"DURE, María Eugenia";"Tierra del Fuego";"f";"512.gif"
224;"GIMENEZ, Nora Del Valle";"Salta";"f";"507.gif"
225;"KUEIDER, Edgardo Darío";"Entre Ríos";"m";"502.gif"
226;"LEAVY, Sergio Napoleón";"Salta";"m";"508.gif"
227;"LEDESMA ABDALA DE ZAMORA, Claudia";"Santiago del Estero";"f";"509.gif"
228;"LOUSTEAU, Martín";"Ciudad Autónoma de Buenos Aires";"m";"497.gif"
229;"MIRABELLA, Roberto Mario";"Santa Fe";"m";"496.gif"
230;"NEDER, José Emilio";"Santiago del Estero";"m";"510.gif"
231;"OLALLA, Stella Maris";"Entre Ríos";"f";"503.gif"
232;"PARRILLI, Oscar Isidro";"Neuquén";"m";"504.gif"
233;"RECALDE, Mariano";"Ciudad Autónoma de Buenos Aires";"m";"498.gif"
234;"RODAS, Antonio Jose";"Chaco";"m";"500.gif"
235;"RODRIGUEZ, Matías David";"Tierra del Fuego";"m";"513.gif"
236;"SAPAG, Silvia";"Neuquén";"f";"251.gif"
237;"TAGLIAFERRI, Guadalupe";"Ciudad Autónoma de Buenos Aires";"f";"499.gif"
238;"TAIANA, Jorge Enrique";"Buenos Aires";"m";"495.gif"
239;"VEGA, María Clara Del Valle";"La Rioja";"f";"514.gif"
240;"WERETILNECK, Alberto Edgardo";"Río Negro";"m";"506.gif"
241;"ZIMMERMANN, Víctor";"Chaco";"m";"501.gif"
242;"GUERRA, Ricardo Antonio";"La Rioja";"m";"515.gif"
243;"VUCASOVICH, María Alejandra";"Santa Fe";"f";"516.gif"
244;"DI TULLIO, Juliana";"Buenos Aires";"f";"517.gif"
245;"GONZALEZ RIOLLO, Gabriela";"San Luis";"f";"542.gif"
246;"ALVAREZ RIVERO, Carmen Silvia";"Córdoba";"f";"522.gif"
247;"ANDRADA, Guillermo Eduardo";"Catamarca";"m";"519.gif"
248;"AVILA, Beatriz Luisa";"Tucumán";"f";"541.gif"
249;"BENSUSAN, Daniel Pablo";"La Pampa";"m";"532.gif"
250;"CORNEJO, Alfredo Victor";"Mendoza";"m";"533.gif"
251;"CORPACCI, Lucia Benigna";"Catamarca";"f";"398.gif"
252;"FAMA, Flavio Sergio";"Catamarca";"m";"520.gif"
253;"HUALA, María Victoria";"La Pampa";"f";"531.gif"
254;"KRONEBERGER, Daniel Ricardo";"La Pampa";"m";"530.gif"
255;"JURI, Mariana";"Mendoza";"f";"534.gif"
256;"LEWANDOWSKI, Marcelo Nestor";"Santa Fe";"m";"538.gif"
257;"LINARES, Carlos Alberto";"Chubut";"m";"529.gif"
258;"LOSADA, Carolina";"Santa Fe";"m";"536.gif"
259;"MENDOZA, Sandra Mariela";"Tucumán";"f";"540.gif"
260;"SCARPIN, Dionisio Fernando";"Santa Fe";"m";"537.gif"
261;"TERENZI, Edith Elizabeth";"Chubut";"f";"528.gif"
262;"TORRES, Ignacio Agustín";"Chubut";"m";"527.gif"
263;"VALENZUELA, Mercedes Gabriela";"Corrientes";"f";"525.gif"
264;"VIGO, Alejandra María";"Córdoba";"m";"523.gif"
265;"VISCHI, Eduardo Alejandro";"Corrientes";"m";"524.gif"
266;"YEDLIN, Pablo Raúl";"Tucumán";"m";"539.gif"
267;"Legislador a Designar";"Buenos Aires";"m";
268;"TORELLO, José María";"Buenos Aires";"m";"543.gif"
269;"DE PEDRO, Eduardo Enrique ";"Buenos Aires";"m";"545.gif"
270;"ABAD, Maximiliano ";"Buenos Aires";"m";"546.gif"
271;"PAOLTRONI, Francisco Manuel ";"Formosa";"m";"551.gif"
272;"BEDIA, Vilma Facunda ";"Jujuy";"f";"553.gif"
273;"ATAUCHE, Ezequiel ";"Jujuy";"m";"552.gif"
274;"MOISES, Maria Carolina ";"Jujuy";"f";"554.gif"
275;"PAGOTTO, Juan Carlos ";"La Rioja";"m";"557.gif"
276;"LOPEZ, Maria Florencia ";"La Rioja";"f";"574.gif"
277;"REJAL, Jesus Fernando ";"La Rioja";"m";"556.gif"
278;"GOERLING LARA, Enrique Martin ";"Misiones";"m";"560.gif"
279;"ARCE, Carlos Omar ";"Misiones";"m";"558.gif"
280;"ROJAS DECUT, Sonia Elizabeth ";"Misiones";"f";"559.gif"
281;"OLIVERA LUCERO, Bruno Antonio ";"San Juan";"m";"563.gif"
282;"UÑAC, Sergio Mauricio ";"San Juan";"m";"561.gif"
283;"GIMENEZ NAVARRO, Maria Celeste ";"San Juan";"f";"562.gif"
284;"ABDALA, Bartolome Esteban ";"San Luis";"m";"564.gif"
285;"ARRASCAETA, Ivanna Marcela ";"San Luis";"f";"565.gif"
286;"SALINO, Fernando Aldo ";"San Luis";"m";"566.gif"
287;"GADANO, Natalia Elena ";"Santa Cruz";"f";"568.gif"
288;"CARAMBIA, Jose Maria ";"Santa Cruz";"m";"567.gif"
289;"CRISTINA, Andrea Marcela";"Chubut";"f";"570.gif"
290;"GALARETTO, Eduardo Horacio";"Santa Fe";"m";"573.gif"
291;"LOPEZ, Cándida Cristina";"Tierra del Fuego";"f";"555.gif"
292;"MANZUR, Juan Luis";"Tucumán";"m";"576.gif"
293;"SILVA, Mónica Esther";"Río Negro";"f";"572.gif"
294;"SUÁREZ, Rodolfo Alejandro";"Mendoza";"m";"571.gif"
